size_kb,width,height,444,h_100_cents_psnr_db,h_112_cents_psnr_db,h_125_cents_psnr_db,h_137_cents_psnr_db,h_150_cents_psnr_db,h_162_cents_psnr_db,h_175_cents_psnr_db,h_187_cents_psnr_db,h_200_cents_psnr_db,h_212_cents_psnr_db,h_225_cents_psnr_db,h_237_cents_psnr_db,h_250_cents_psnr_db,h_262_cents_psnr_db,h_275_cents_psnr_db,h_287_cents_psnr_db
50,3840,2160,0,23.7990,23.6935,23.6467,23.6477,23.6846,23.7506,23.8338,23.9369,24.0582,24.1866,24.3202,24.4578,24.5981,24.7403,24.8839,25.0282
50,1280,720,0,28.7999,28.2895,27.9061,27.6232,27.4214,27.2858,27.2068,27.1731,27.1807,27.2215,27.2906,27.3845,27.4966,27.6332,27.7807,27.9437
50,1376,774,0,28.3523,27.8770,27.5255,27.2716,27.0968,26.9871,26.9292,26.9181,26.9431,26.9995,27.0820,27.1880,27.3136,27.4546,27.6070,27.7657
50,1472,828,0,28.0729,27.6261,27.3006,27.0706,26.9168,26.8255,26.7863,26.7886,26.8266,26.8920,26.9856,27.0971,27.2277,27.3675,27.5191,27.6896
50,1568,882,0,27.8531,27.4307,27.1270,26.9161,26.7795,26.7026,26.6751,26.6875,26.7310,26.8060,26.9007,27.0151,27.1391,27.2819,27.4378,27.5975
50,1664,936,0,27.5487,27.1505,26.8680,26.6765,26.5568,26.4946,26.4786,26.5002,26.5557,26.6345,26.7348,26.8461,26.9807,27.1260,27.2757,27.4322
50,1760,990,0,27.4246,27.0454,26.7787,26.6004,26.4926,26.4399,26.4310,26.4593,26.5161,26.5975,26.6920,26.8123,26.9435,27.0802,27.2272,27.3813
50,1856,1044,0,27.0670,26.7013,26.4467,26.2770,26.1749,26.1267,26.1199,26.1494,26.2068,26.2810,26.3821,26.4971,26.6193,26.7543,26.8962,27.0405
50,1952,1098,0,26.3160,25.9931,25.7778,25.6449,25.5753,25.5536,25.5774,25.6301,25.7037,25.8029,25.9199,26.0445,26.1822,26.3272,26.4744,26.6275
50,1280,720,1,28.6990,28.1849,27.7977,27.5107,27.3045,27.1643,27.0805,27.0418,27.0442,27.0795,27.1430,27.2311,27.3374,27.4677,27.6090,27.7656
50,1472,828,1,28.0117,27.5622,27.2339,27.0008,26.8438,26.7492,26.7066,26.7053,26.7396,26.8013,26.8911,26.9987,27.1254,27.2612,27.4088,27.5752
50,1664,936,1,27.4994,27.0988,26.8138,26.6197,26.4973,26.4324,26.4136,26.4323,26.4849,26.5609,26.6583,26.7668,26.8986,27.0411,27.1881,27.3420
50,1760,990,1,27.3802,26.9989,26.7302,26.5497,26.4397,26.3848,26.3736,26.3997,26.4543,26.5335,26.6259,26.7440,26.8732,27.0079,27.1529,27.3052
50,1856,1044,1,27.0351,26.6679,26.4118,26.2405,26.1368,26.0869,26.0785,26.1064,26.1621,26.2347,26.3342,26.4477,26.5684,26.7018,26.8423,26.9852
50,1952,1098,1,26.2930,25.9690,25.7525,25.6184,25.5475,25.5246,25.5471,25.5986,25.6710,25.7690,25.8848,26.0083,26.1449,26.2888,26.4350,26.5871
50,2048,1152,0,26.0110,25.7118,25.5167,25.4015,25.3474,25.3426,25.3755,25.4361,25.5210,25.6306,25.7496,25.8821,26.0240,26.1690,26.3213,26.4816
